series,operator,circle
9382,RJ,WB
9383,CG,KL
9384,AT,TN
9385,CG,TN
9386,,
9387,,
9388,,
9389,RJ,UW
9390,RJ,AP
9391,RJ,AP
9392,RJ,AP
9393,,
9394,,
9395,,
9396,,
9397,,
9398,RJ,AP
9399,,
9400,CG,KL
9401,CG,AS
9402,CG,NE
9403,CG,MH
9404,CG,MH
9405,CG,MH
9406,CG,MP
9407,CG,MP
9408,CG,GJ
9409,CG,GJ
9410,CG,UW
9411,CG,UW
9412,CG,UW
9413,CG,RJ
9414,CG,RJ
9415,CG,UE
9416,CG,HR
9417,CG,PB
9418,CG,HP
9419,CG,JK
9420,CG,MH
9421,CG,MH
9422,CG,MH
9423,CG,MH
9424,CG,MP
9425,CG,MP
9426,CG,GJ
9427,CG,GJ
9428,CG,GJ
9429,CG,GJ
9430,CG,BR
9431,CG,BR
9432,CG,KO
9433,CG,KO
9434,CG,WB
9435,CG,AS
9436,CG,NE
9437,CG,OR
9438,CG,OR
9439,CG,OR
9440,CG,AP
9441,CG,AP
9442,CG,TN
9443,CG,TN
9444,CG,TN
9445,CG,TN
9446,CG,KL
9447,CG,KL
9448,CG,KA
9449,CG,KA
9450,CG,UE
9451,CG,UE
9452,CG,UE
9453,CG,UE
9454,CG,UE
9455,CG,UE
9456,CG,UW
9457,CG,UW
9458,CG,UW
9459,CG,HP
9460,CG,RJ
9461,CG,RJ
9462,CG,RJ
9463,CG,PB
9464,CG,PB
9465,CG,PB
9466,CG,HR
9467,CG,HR
9468,CG,HR
9469,CG,JK
9470,CG,BR
9471,CG,BR
9472,CG,BR
9473,CG,UE
9474,CG,WB
9475,CG,WB
9476,CG,WB
9477,CG,KO
9478,CG,PB
9479,CG,MP
9480,CG,KA
9481,CG,KA
9482,CG,KA
9483,CG,KA
9484,CG,JK
9485,CG,NE
9486,CG,TN
9487,CG,TN
9488,CG,TN
9489,CG,TN
9490,CG,AP
9491,CG,AP
9492,CG,AP
9493,CG,AP
9494,CG,AP
9495,CG,KL
9496,CG,KL
9497,CG,KL
9498,CG,TN
9499,CG,TN
9500,AT,TN
9501,AT,PB
9502,AT,AP
9503,AT,MH
9504,,
9505,VI,AP
9506,VI,UE
9507,VI,BR
9508,RJ,BR
9509,RJ,RJ
9510,RJ,GJ
9511,RJ,MH
9512,VI,GJ
9513,VI,KA
9514,,
9515,AT,AP
9516,,
9517,,
9518,RJ,MH
9519,,
9520,,
9521,,
9522,,
9523,,
9524,,
9525,VI,BR
9526,VI,KL
9527,VI,MH
9528,RJ,UW
9529,RJ,MH
9530,CG,RJ
9531,CG,WB
9532,CG,UE
9533,,
9534,VI,BR
9535,AT,KA
9536,VI,UW
9537,VI,GJ
9538,VI,KA
9539,VI,KL
9540,VI,DL
9541,AT,JK
9542,VI,AP
9543,,
9544,VI,KL
9545,VI,MH
9546,AT,BR
9547,AT,WB
9548,RJ,UW
9549,VI,RJ
9550,AT,AP
9551,,
9552,VI,MH
9553,VI,AP
9554,VI,UE
9555,RJ,UE
9556,AT,OR
9557,AT,UW
9558,AT,GJ
9559,AT,UE
9560,AT,DL
9561,AT,MH
9562,VI,KL
9563,,
9564,VI,WB
9565,VI,UE
9566,AT,TN
9567,AT,KL
9568,VI,UW
9569,RJ,UE
9570,VI,BR
9571,AT,RJ
9572,AT,BR
9573,AT,AP
9574,VI,GJ
9575,VI,MP
9576,VI,BR
9577,,
9578,,
9579,RJ,MH
9580,RJ,UE
9581,VI,AP
9582,VI,DL
9583,VI,OR
9584,VI,MP
9585,VI,TN
9586,VI,GJ
9587,VI,RJ
9588,RJ,HR
9589,AT,MP
9590,,
9591,AT,KA
9592,VI,PB
9593,VI,WB
9594,VI,MU
9595,,
9596,AT,JK
9597,AT,TN
9598,VI,UE
9599,AT,DL
9600,AT,TN
9601,AT,GJ
9602,AT,RJ
9603,VI,AP
9604,VI,MH
9605,VI,KL
9606,AT,KA
9607,,
9608,RJ,BR
9609,VI,WB
9610,VI,RJ
9611,AT,KA
9612,AT,NE
9613,,
9614,,
9615,,
9616,VI,UE
9617,VI,MP
9618,AT,AP
9619,VI,MU
9620,VI,KA
9621,AT,UE
9622,AT,JK
9623,VI,MH
9624,VI,GJ
9625,RJ,DL
9626,VI,TN
9627,VI,UW
9628,VI,UE
9629,AT,TN
9630,AT,MP
9631,AT,BR
9632,AT,KA
9633,AT,KL
9634,AT,UW
9635,AT,WB
9636,AT,RJ
9637,VI,MH
9638,VI,GJ
9639,VI,UW
9640,VI,AP
9641,RJ,WB
9642,VI,AP
9643,VI,DL
9644,VI,MP
9645,VI,KL
9646,VI,PB
9647,VI,WB
9648,VI,UE
9649,VI,RJ
9650,AT,DL
9651,AT,UE
9652,AT,AP
9653,RJ,UE
9654,VI,DL
9655,VI,TN
9656,VI,KL
9657,VI,MH
9658R,,
9659,,
9660,AT,RJ
9661,AT,BR
9662,AT,GJ
9663,AT,KA
9664,RJ,GJ
9665,AT,MH
9666,VI,AP
9667,AT,DL
9668,AT,OR
9669,VI,MP
9670,VI,UE
9671,VI,HR
9672,VI,RJ
9673,VI,MH
9674,VI,KO
9675,VI,UW
9676,AT,AP
9677,AT,TN
9678,AT,AS
9679,AT,WB
9680,AT,RJ
9681,,
9682,RJ,JK
9683,CG,HR
9684,CG,MH
9685,AT,MP
9686,AT,KA
9687,VI,GJ
9688,,
9689,VI,MH
9690,VI,UW
9691,RJ,MP
9692,RJ,OR
9693,RJ,BR
9694,VI,RJ
9695,AT,UE
9696,RJ,UE
9697,,
9698,,
9699,,
9700,AT,AP
9701,VI,MU
9702,VI,AP
9703,AT,AP
9704,VI,AP
9705,VI,AS
9706,AT,AS
9707,VI,BR
9708,VI,BR
9709,,
9710,VI,DL
9711,VI,GJ
9712,VI,MP
9713,VI,GJ
9714,,
9715,,
9716,AT,DL
9717,VI,DL
9718,VI,UW
9719,VI,UW
9720,VI,UE
9721,,
9722,VI,GJ
9723,AT,GJ
9724,AT,GJ
9725,VI,GJ
9726,VI,GJ
9727,VI,HR
9728,AT,HR
9729,AT,MH
9730,AT,KA
9731,VI,WB
9732,VI,WB
9733,VI,WB
9734,VI,WB
9735,VI,HP
9736,VI,GJ
9737,,
9738,VI,KA
9739,AT,KA
9740,AT,KA
9741,VI,KA
9742,VI,KA
9743,VI,KL
9744,VI,KL
9745,AT,KL
9746,VI,KL
9747,AT,KO
9748,RJ,WB
9749,,
9750,VI,TN
9751,AT,MP
9752,VI,MP
9753,VI,MP
9754,AT,MP
9755,VI,UW
9756,,
9757,VI,UW
9758,VI,UW
9759,AT,UW
9760,VI,UW
9761,,
9762,VI,MH
9763,VI,MH
9764,VI,MH
9765,AT,MH
9766,VI,MH
9767,,
9768,VI,MU
9769,RJ,MP
9770,AT,BR
9771,VI,RJ
9772,AT,DL
9773,VI,NE
9774,VI,WB
9775,VI,OR
9776,AT,OR
9777,RJ,KL
9778,AT,PB
9779,VI,PB
9780,VI,PB
9781,,
9782,VI,RJ
9783,AT,TN
9784,VI,RJ
9785,VI,TN
9786,VI,TN
9787,,
9788,AT,TN
9789,AT,TN
9790,AT,TN
9791,VI,UE
9792,AT,UE
9793,AT,UE
9794,VI,UE
9795,VI,JK
9796,AT,JK
9797,RJ,BR
9798,AT,RJ
9799,,
9800,AT,WB
9801,AT,BR
9802,,
9803,,
9804,,
9805,AT,HP
9806,,
9807,,
9808,,
9809,,
9810,AT,DL
9811,VI,DL
9812,VI,HR
9813,VI,HR
9814,VI,PB
9815,AT,PB
9816,AT,HP
9817,RJ,HR
9818,AT,DL
9819,VI,MU
9820,VI,MU
9821,AT,DL
9822,VI,MH
9823,VI,MH
9824,VI,GJ
9825,VI,GJ
9826,VI,MP
9827,RJ,OR
9828,VI,RJ
9829,AT,RJ
9830,VI,KO
9831,AT,KO
9832,RJ,WB
9833,VI,MU
9834,AT,MH
9835,RJ,BR
9836,VI,KO
9837,VI,UW
9838,VI,UE
9839,VI,UE
9840,AT,TN
9841,,
9842,RJ,AS
9843,VI,TN
9844,VI,KA
9845,AT,KA
9846,VI,KL
9847,VI,KL
9848,VI,AP
9849,AT,AP
9850,VI,MH
9851,,
9852,,
9853,,
9854,,
9855,VI,PB
9856,,
9857,,
9858,,
9859,,
9860,AT,MH
9861,RJ,OR
9862,AT,NE
9863,RJ,NE
9864,RJ,AS
9865,RJ,KA
9866,AT,AP
9867,AT,MU
9868,,
9869,,
9870,AT,DL
9871,AT,DL
9872,AT,PB
9873,VI,DL
9874,VI,KO
9875,RJ,KO
9876,AT,PB
9877,RJ,PB
9878,AT,PB
9879,VI,GJ
9880,AT,KA
9881,VI,MH
9882,VI,HP
9883,RJ,WB
9884,VI,TN
9885,VI,AP
9886,VI,KA
9887,VI,RJ
9888,VI,PB
9889,VI,UE
9890,AT,MH
9891,VI,DL
9892,AT,MU
9893,AT,MP
9894,AT,TN
9895,AT,KL
9896,AT,HR
9897,AT,UW
9898,AT,GJ
9899,VI,DL
9900,AT,KA
9901,AT,KA
9902,AT,KA
9903,AT,KO
9904,VI,GJ
9905,RJ,BR
9906,AT,JK
9907,RJ,WB
9908,AT,AP
9909,VI,GJ
9910,AT,DL
9911,VI,DL
9912,VI,AP
9913,VI,GJ
9914,VI,PB
9915,AT,PB
9916,VI,KA
9917,VI,UW
9918,VI,UE
9919,VI,UE
9920,VI,MU
9921,VI,MH
9922,VI,MH
9923,VI,MH
9924,VI,GJ
9925,VI,GJ
9926,VI,MP
9927,VI,UW
9928,AT,RJ
9929,AT,RJ
9930,AT,MU
9931,AT,BR
9932,AT,WB
9933,AT,WB
9934,AT,BR
9935,AT,UE
9936,AT,UE
9937,AT,OR
9938,AT,OR
9939,AT,BR
9940,AT,TN
9941,AT,TN
9942,RJ,BR
9943,VI,TN
9944,AT,TN
9945,AT,KA
9946,VI,KL
9947,VI,KL
9948,VI,AP
9949,AT,AP
9950,AT,RJ
9951,,
9952,AT,TN
9953,VI,DL
9954,AT,AS
9955,AT,BR
9956,AT,UE
9957,AT,AS
9958,AT,DL
9959,AT,AP
9960,AT,MH
9961,VI,KL
9962,VI,TN
9963,AT,AP
9964,VI,KA
9965,,
9966,VI,AP
9967,AT,MU
9968,,
9969,,
9970,AT,MH
9971,AT,DL
9972,AT,KA
9973,AT,BR
9974,AT,GJ
9975,AT,MH
9976,,
9977,VI,MP
9978,VI,GJ
9979,VI,GJ
9980,AT,KA
9981,AT,MP
9982,VI,RJ
9983,VI,RJ
9984,VI,UE
9985,VI,AP
9986,VI,KA
9987,AT,MU
9988,VI,PB
9989,AT,AP
9990,VI,DL
9991,VI,HR
9992,VI,HR
9993,AT,MP
9994,AT,TN
9995,AT,KL
9996,AT,HR
9997,AT,UW
9998,AT,GJ
9999,VI,DL
8000.0,,
8001.0,VI,WB
8002.0,AT,BR
8003.0,AT,RJ
8004.0,CG,UE
8005.0,CG,UE
8006.0,VI,UW
8007.0,VI,MH
8008.0,AT,AP
8009.0,AT,UE
8010.0,RJ,MH
8011.0,AT,AS
8012.0,,
8013.0,,
8014.0,,
8015.0,,
8016.0,AT,WB
8017.0,VI,KO
8018.0,AT,OR
8019.0,,
8020.0,,
8021.0,,
8022.0,,
8023.0,,
8024.0,,
8025.0,,
8026.0,,
8027.0,,
8028.0,,
8029.0,,
8030.0,,
8031.0,,
8032.0,,
8033.0,,
8034.0,,
8035.0,,
8036.0,,
8037.0,,
8038.0,,
8039.0,,
8040.0,,
8041.0,,
8042.0,,
8043.0,,
8044.0,,
8045.0,,
8046.0,,
8047.0,,
8048.0,,
8049.0,,
8050.0,,
8051.0,VI,BR
8052.0,VI,UE
8053.0,VI,HR
8054.0,VI,PB
8055.0,,
8056.0,AT,TN
8057.0,VI,UW
8058.0,VI,RJ
8059.0,VI,HR
8060.0,,
8061.0,,
8062.0,,
8063.0,,
8064.0,,
8065.0,,
8066.0,,
8067.0,,
8068.0,,
8069.0,,
8070.0,,
8071.0,,
8072.0,RJ,TN
8073.0,RJ,KA
8074.0,RJ,AP
8075.0,RJ,KL
8076.0,RJ,DL
8077.0,RJ,UW
8078.0,CG,KL
8079.0,,
8080.0,,
8081.0,RJ,UE
8082.0,,
8083.0,,
8084.0,AT,BR
8085.0,AT,MP
8086.0,VI,KL
8087.0,,
8088.0,,
8089.0,AT,KL
8090.0,,
8091.0,,
8092.0,,
8093.0,,
8094.0,VI,RJ
8095.0,VI,KA
8096.0,VI,AP
8097.0,,
8098.0,VI,TN
8099.0,,
8100.0,,
8101.0,,
8102.0,RJ,BR
8103.0,,
8104.0,RJ,MU
8105.0,AT,KA
8106.0,AT,AP
8107.0,AT,RJ
8108.0,VI,MU
8109.0,,
8110.0,,
8111.0,VI,KL
8112.0,RJ,RJ
8113.0,VI,KL
8114.0,AT,OR
8115.0,AT,UE
8116.0,AT,WB
8117.0,,
8118.0,RJ,RJ
8119.0,AT,NE
8120.0,VI,MP
8121.0,CG,DL
8122.0,AT,TN
8123.0,,
8124.0,VI,TN
8125.0,,
8126.0,AT,UW
8127.0,AT,UE
8128.0,AT,GJ
8129.0,AT,KL
8130.0,AT,DL
8131.0,,
8132.0,,
8133.0,,
8134.0,,
8135.0,,
8136.0,AT,KL
8137.0,AT,KL
8138.0,AT,KL
8139.0,,
8140.0,VI,GJ
8141.0,VI,GJ
8142.0,VI,AP
8143.0,,
8144.0,RJ,OR
8145.0,VI,WB
8146.0,AT,PB
8147.0,,
8148.0,,
8149.0,,
8150.0,VI,KA
8151.0,VI,KA
8152.0,VI,KA
8153.0,,
8154.0,,
8155.0,,
8156.0,,
8157.0,VI,KL
8158.0,AT,WB
8159.0,AT,WB
8160.0,,
8161.0,,
8162.0,,
8163.0,,
8164.0,,
8165.0,,
8166.0,,
8167.0,AT,WB
8168.0,RJ,HR
8169.0,RJ,MU
8170.0,AT,
8171.0,AT,UW
8172.0,,
8173.0,,
8174.0,,
8175.0,,
8176.0,,
8177.0,AT,MH
8178.0,RJ,DL
8179.0,AT,AP
8180.0,AT,MH
8181.0,,
8182.0,,
8183.0,,
8184.0,VI,AP
8185.0,VI,AP
8186.0,VI,AP
8187.0,VI,AP
8188.0,,
8189.0,,
8190.0,,
8191.0,VI,UW
8192.0,,
8193.0,,
8194.0,VI,PB
8195.0,VI,PB
8196.0,VI,PB
8197.0,AT,KA
8198.0,VI,PB
8199.0,VI,HR
8200.0,RJ,GJ
8201.0,,
8202.0,,
8203.0,,
8204.0,,
8205.0,,
8206.0,,
8207.0,VI,BR
8208.0,,MH
8209.0,,
8210.0,RJ,BR
8211.0,,
8212.0,,
8213.0,,
8214.0,,
8215.0,,
8216.0,,
8217.0,RJ,KA
8218.0,RJ,UW
8219.0,RJ,HP
8220.0,AT,TN
8221.0,VI,HR
8222.0,VI,HR
8223.0,VI,MP
8224.0,VI,MP
8225.0,VI,MP
8226.0,VI,MP
8227.0,VI,BR
8228.0,VI,BR
8229.0,VI,BR
8230.0,,
8231.0,,
8232.0,,
8233.0,,
8234.0,,
8235.0,,
8236.0,,
8237.0,,
8238.0,VI,GJ
8239.0,VI,RJ
8240.0,RJ,KO
8241.0,,
8242.0,,
8243.0,,
8244.0,,
8245.0,,
8246.0,,
8247.0,RJ,AP
8248.0,RJ,TN
8249.0,RJ,OR
8250.0,RJ,WB
8251.0,,
8252.0,RJ,BR
8253.0,,
8254.0,,
8255.0,,
8256.0,,
8257.0,,
8258.0,,
8259.0,,
8260.0,,
8261.0,,
8262.0,,
8263.0,,
8264.0,,
8265.0,,
8266.0,,
8267.0,,
8268.0,,
8269.0,,
8270.0,AT,OR
8271.0,AT,BR
8272.0,,
8273.0,AT,UW
8274.0,,
8275.0,CG,MH
8276.0,,
8277.0,CG,KA
8278.0,CG,HR
8279.0,RJ,UW
8280.0,CG,OR
8281.0,CG,KL
8282.0,,
8283.0,AT,PB
8284.0,AT,PB
8285.0,,
8286.0,,
8287.0,,
8288.0,AT,PB
8289.0,AT,PB
8290.0,AT,RJ
8291.0,AT,MU
8292.0,AT,BR
8293.0,,
8294.0,AT,BR
8295.0,AT,HR
8296.0,,
8297.0,VI,AP
8298.0,VI,BR
8299.0,RJ,UE
8300.0,,
8302.0,,
8303.0,,
8304.0,CG,KL
8305.0,,
8306.0,,
8307.0,,
8308.0,VI,MH
8309.0,RJ,AP
8310.0,RJ,KA
8311.0,,
8312.0,,
8313.0,,
8314.0,,
8315.0,,
8316.0,,
8317.0,VI,UW
8318.0,RJ,UE
8319.0,RJ,MP
8320.0,RJ,DL
8321.0,,
8322.0,,
8323.0,,
8324.0,,
8325.0,,
8326.0,,
8327.0,,
8328.0,RJ,AP
8329.0,RJ,MH
8330.0,CG,KL
8331.0,,
8332.0,,
8333.0,,
8334.0,VI,KO
8335.0,VI,KO
8336.0,VI,KO
8337.0,VI,KO
8338.0,VI,OR
8339.0,VI,OR
8340.0,RJ,BR
8341.0,AT,AP
8342.0,,
8343.0,,
8344.0,,
8345.0,,
8346.0,VI,WB
8347.0,VI,GJ
8348.0,VI,KO
8349.0,AT,MP
8350.0,,
8351.0,,
8352.0,,
8353.0,,
8354.0,,
8355.0,,
8356.0,,
8357.0,VI,MP
8358.0,VI,MP
8359.0,VI,MP
8360.0,RJ,PB
8361.0,,
8362.0,,
8363.0,,
8364.0,,
8365.0,,
8366.0,,
8367.0,VI,AP
8368.0,RJ,DL
8369.0,RJ,MU
8370.0,VI,WB
8371.0,,
8372.0,,
8373.0,VI,DL
